pronunciation,ids
ˈaʊɚ,"11,822"
hˈoʊl,"21,2104"
hˈaɪ,"29,89"
hˈɪɹ,"92,98"
mˈiːt,"131,133"
mˈiːn,"135,8697"
mˈeɪl,"150,1373"
nˈoʊ,"194,796"
lˈɛsən,"210,3033"
kˈɔːɹs,"255,6493"
dˈuː,"278,439"
dˈɪɹ,"295,6559"
tʃˈɛk,"308,1355"
flˈaʊɚ,"365,1652"
fˈɔːɹ,"390,411"
fˈɛɹi,"462,4693"
fˈɛɹ,"463,1555"
ðˈɛɹ,"484,494"
tˈiːm,"501,8701"
tˈuː,"513,520,665"
sˈʌn,"565,583"
stɹˈeɪt,"597,5642"
sˈʌm,"598,718"
wˈɛɹ,"613,629"
wˈɜː,"620,8714"
wˈiːk,"625,2241"
wˈɛðɚ,"627,4192"
jˈuː,"636,7636"
ɹˈaɪt,"646,958,5307"
wˈʊd,"647,2426"
wˈeɪ,"659,2228"
wˈeɪt,"705,2122"
vˈɛɹi,"711,4091"
pˈiːs,"722,737"
pɹˈæktɪs,"759,760"
plˈeɪn,"776,2652"
pˈɛɹ,"780,2251"
nˈɑːt,"793,7542"
ˈɔːɹ,"826,9407"
sˈɛl,"867,3759"
sˈiː,"870,933"
sˈaɪt,"871,894,8051"
sˈoʊ,"874,1655"
ɹˈiːd,"918,5365"
sˈeɪl,"943,5617"
ɹˈoʊl,"955,1132"
bˈɔːɹd,"993,1743"
bˈiː,"1022,1052"
bˈɛɹ,"1030,3127"
bɹˈeɪk,"1036,1622"
ˈæd,"1048,4100"
bˈaɪ,"1070,1108,1109"
ˈænt,"1107,4617"
stˈɛɹ,"1127,4849"
dˈaɪ,"1151,6067"
stˈiːl,"1222,3902"
stˈeɪk,"1227,5332"
bˈɪn,"1261,2640"
dˈæm,"1273,6731"
ˈaɪəl,"1308,3483"
tʃˈɪli,"1374,7827"
bˈɛɹi,"1449,7320"
flˈiː,"1662,6310"
hˈeɪ,"1977,7256"
ɹˈæp,"2100,4123"
pˈiː,"2165,6983"
pɹˈɪnsɪpəl,"2172,2503"
wˈiːkli,"2223,5336"
sˈɛnt,"2400,5566"
hˈiːl,"2576,2624"
hˈoʊli,"2588,9026"
pɹˈaɪz,"2617,8756"
ˈoʊ,"2628,7129"
pˈaɪ,"2689,7025"
hˈɑːstəl,"2953,7587"
ˈaɪdəl,"3463,7183"
kˈɑːmplɪmənt,"3657,3709"
tˈeɪl,"3760,5392"
kˈaʊnsəl,"3961,9072"
wˈeɪst,"4037,5289"
wˈɔːɹn,"4045,4108"
vˈeɪn,"4086,4096"
sˈɔːɹ,"4491,5413"
flˈoʊ,"4575,8957"
pɹˈɑːfɪt,"4926,8161"
sˈɛlɚ,"5048,6439"
ˈɔltɚ,"5160,5206"
ˈæɡənˌaɪz,"5456,8050"
ɹˈæk,"5682,8642"
fˈeɪt,"6256,8760"
kˈɔːɹ,"6397,8011"
lˈiːk,"7385,7393"
mˈædəm,"7452,7453"
kˌɑːmplɪmˈɛntɚɹi,"8306,8307"
