block_id,item_id
2000,482
2000,508
2001,490
2001,4255
2002,501
2002,5826
2003,510
2003,4277
2004,511
2004,4227
2005,526
2005,9090
2006,529
2006,676
2007,530
2007,680
2008,537
2008,4220
2009,656
2009,5098
2010,871
2010,5797
2011,983
2011,1017
2012,991
2012,1079
2013,1199
2013,3842
2014,1493
2014,4474
2015,1997
2015,2072
2016,2071
2016,8416
2017,2105
2017,5827
2018,4567
2018,6241
2019,5649
2019,5786
2020,5808
2020,7805
2021,6015
2021,6256
2022,711
2022,8106
2023,2055
2023,4084
2024,2328
2024,4940
2025,4086
2025,9471
2026,64
2026,1738
2027,102
2027,104
2028,128
2028,1371
2029,236
2029,1454
2030,242
2030,6575
2031,245
2031,1206
2032,423
2032,980
2033,480
2033,9078
2034,508
2034,5391
2035,736
2035,2248
2036,983
2036,2499
2037,984
2037,8465
2038,1059
2038,1243
2039,1061
2039,1044
2040,1095
2040,1780
2041,1287
2041,8071
2042,1438
2042,1504
2043,1446
2043,7384
2044,1635
2044,3414
2045,1678
2045,1687
2046,2217
2046,5655
2047,2300
2047,7411
2048,2595
2048,6980
2049,2954
2049,9574
2050,3072
2050,4260
2051,3260
2051,3327
2052,3682
2052,7728
2053,4098
2053,9529
2054,4241
2054,5488
2055,4566
2055,6323
2056,4683
2056,8671
2057,5207
2057,8642
2058,6890
2058,7458
